tokenizer,language,avg_tokens,avg_bytes,tokens_per_byte,n_sentences
cl100k_base,English,25.87863590772317,125.66700100300903,0.2059302418389337,997
cl100k_base,Spanish,40.00601805416249,152.5356068204614,0.2622733071187154,997
cl100k_base,German,40.7382146439318,149.38415245737212,0.2727077402374174,997
cl100k_base,Chinese,48.90070210631896,117.60682046138415,0.4157981817251437,997
cl100k_base,Japanese,58.64092276830492,160.5295887662989,0.3652966610016995,997
cl100k_base,Korean,61.34904714142427,151.37211634904713,0.4052863144224016,997
cl100k_base,Arabic,78.45536609829489,201.17953861584755,0.3899768666241225,997
claude,English,26.254764292878637,125.66700100300903,0.20892329794875888,997
claude,Spanish,44.32998996990973,152.5356068204614,0.2906206025855153,997
claude,German,44.767301905717154,149.38415245737212,0.2996790567760649,997
claude,Chinese,48.502507522567704,117.60682046138415,0.41241236972725875,997
claude,Japanese,57.62888665997994,160.5295887662989,0.35899230230930723,997
claude,Korean,66.94483450351053,151.37211634904713,0.44225340913608713,997
claude,Arabic,101.1173520561685,201.17953861584755,0.5026224473516273,997
